,Random Sampling,Systematic Sampling,Cluster Sampling,Stratified Sampling
LogisticRegression,84.84455958549223,85.23316062176166,85.23316062176166,80.69948186528497
LinearSVM,78.62694300518135,78.88601036269431,65.28497409326425,95.59585492227978
DecisionTree,83.03108808290155,92.35751295336787,91.45077720207254,90.93264248704664
NaiveBayes,69.43005181347151,92.35751295336787,70.33678756476684,82.38341968911918
RandomForest,96.24352331606218,97.7979274611399,97.92746113989638,96.24352331606218
